Lemi Berhanu Hayle,M0-120,2:12:45
Lelisa Desisa,M0-120,2:13:32
Yemane Adhane Tsegay,M0-120,2:14:02
Wesley Korir,M0-120,2:14:05
Paul Lonyangata,M0-120,2:15:45
Sammy Kitwara,M0-120,2:16:43
Stephen Chebogut,M0-120,2:16:52
Abdi Nageeye,M0-120,2:18:05
Getu Feleke,M0-120,2:18:46
Zachary Hine,M0-120,2:21:37
Cutbert Nyasango,M0-120,2:22:02
Tsegaye Mekonnen,M0-120,2:22:21
Ian Burrell,M0-120,2:22:22
Jackson Kiprop,M0-120,2:24:44
Harbert Okuti,M0-120,2:24:46
Solonei Da Silva,M0-120,2:24:54
Clint Wells,M0-120,2:24:55
Norio Kamijo,M0-120,2:25:31
Shingo Igarashi,M0-120,2:26:24
Michael Kipyego,M0-120,2:27:02
Andy Williams,M0-120,2:27:07
Said Boudalia,M0-120,2:27:41
Joseph Carpenter,M0-120,2:27:48
Tyler Eustance,M0-120,2:27:53
Alvaro Sanabria,M0-120,2:28:14
Jorge Maravilla,M0-120,2:28:26
Mahoro Ikeda,M0-120,2:28:53
Dylan Villescas,M0-120,2:29:09
Atsede Baysa,F0-120,2:29:19
Zachary Ornelas,M0-120,2:29:23
Peter Bromka,M0-120,2:29:32
Craig Coon,M0-120,2:29:51
Tirfi Tsegaye,F0-120,2:30:03
Brandon Wolfe,M0-120,2:30:22
Robert Bond,M0-120,2:30:27
Joyce Chepkirui,F0-120,2:30:50
Martin Fiz,M0-120,2:30:57
Patrick Reaves,M0-120,2:31:14
Alan Ash,M0-120,2:31:16
David Mckay,M0-120,2:31:24
Michael Wardian,M0-120,2:31:39
Yuji Wakimoto,M0-120,2:31:47
Jonathan Joyce,M0-120,2:32:00
Jelena Prokopcuka,F0-120,2:32:28
Aliaksandr Leuchanka,M0-120,2:32:37
Ramiro Guillen,M0-120,2:32:45
Jason Ayr,M0-120,2:32:59
Sam Krieg,M0-120,2:33:03
Valentine Kipketer,F0-120,2:33:13
Stephen Vangampleare,M0-120,2:33:19
Alex Mauro,M0-120,2:33:23
Wesley Turner,M0-120,2:33:35
Flomena Cheyech Daniel,F0-120,2:33:40
Scott Arnald,M0-120,2:33:46
Brendon O'Leary,M0-120,2:33:50
Buzunesh Deba,F0-120,2:33:56
Cesar Martins,M0-120,2:34:02
Jonathan Jackson,M0-120,2:34:12
Kyle Larson,M0-120,2:34:15
Donovan Fellows,M0-120,2:34:17
Javier Madrid,M0-120,2:34:19
Jack Klecker,M0-120,2:34:20
Christian Mercier,M0-120,2:34:30
Justin Kowalski,M0-120,2:34:35
Fate Tola,F0-120,2:34:38
John Brigham,M0-120,2:34:41
Jonathan Briskman,M0-120,2:34:43
David Bedoya,M0-120,2:34:55
Neely Spence Gracey,F0-120,2:35:00
Ryan Kaiser,M0-120,2:35:00
Damon Valenzona,M0-120,2:35:16
Kenny Goodfellow,M0-120,2:35:24
Jeremy Van Veen,M0-120,2:35:40
Adrian Macdonald,M0-120,2:35:48
Greg Hutson,M0-120,2:35:50
Russell Stein,M0-120,2:36:02
Jake Kasperski,M0-120,2:36:04
Dustin Martin,M0-120,2:36:08
Gregory Liebl,M0-120,2:36:10
Geraint Davies,M0-120,2:36:11
Oswaldo Hurtado,M0-120,2:36:12
Miles Aitken,M0-120,2:36:18
Israel Merkle,M0-120,2:36:21
Chip Ohara,M0-120,2:36:31
Erik Hanson,M0-120,2:36:54
Ryan Donovan,M0-120,2:36:58
Chaiwat Engtrakul,M0-120,2:37:01
Chase Ratliff,M0-120,2:37:10
Andrew Madison,M0-120,2:37:11
Wayne Blas,M0-120,2:37:23
Jacob Kirk,M0-120,2:37:23
Ian Neill,M0-120,2:37:26
Steven Sprieser,M0-120,2:37:30
Mamitu Daska,F0-120,2:37:31
Jason Simpson,M0-120,2:37:33
Brett Burdick,M0-120,2:37:35
Sarah Crouch,F0-120,2:37:36
Fan Zhou,M0-120,2:37:36
Ulrich Steidl,M0-120,2:37:36
Chris Hartshorn,M0-120,2:37:46
Conor Doan,M0-120,2:37:50
Tom Ritchie,M0-120,2:37:56
Paddy O'Leary,M0-120,2:37:56
Ben Schneider,M0-120,2:38:02
Gedion Yitref,M0-120,2:38:16
David Metzger,M0-120,2:38:17
Stephen Hallman,M0-120,2:38:18
Christopher Harmon,M0-120,2:38:22
Scott Allen,M0-120,2:38:23
Evan Williams,M0-120,2:38:23
Jaiden Brandt,M0-120,2:38:27
Jeremy Klapper,M0-120,2:38:30
Facundo Chernikoff,M0-120,2:38:30
Dustin Whitlow,M0-120,2:38:45
Sean Hyland,M0-120,2:38:51
Brent Schneider,M0-120,2:38:51
Colin McGrath,M0-120,2:39:00
Andre La Gerche,M0-120,2:39:04
Joseph Skurski,M0-120,2:39:04
Graham Tribble,M0-120,2:39:14
Chris Mocko,M0-120,2:39:14
Bronson Venable,M0-120,2:39:19
Miharu Shimokado,F0-120,2:39:21
Nicholas Bedbury,M0-120,2:39:28
Michael Schram,M0-120,2:39:33
Amane Beriso,F0-120,2:39:38
Cory Logsdon,M0-120,2:39:41
Kyle Norris,M0-120,2:39:42
Miroslav Novak,M0-120,2:39:44
William Snoberger,M0-120,2:39:47
Kenneth Pliska,M0-120,2:39:48
Michael Barrows,M0-120,2:39:52
Kunihiko Hayashi,M0-120,2:39:52
Mark Boyce,M0-120,2:39:55
Neil Pearson,M0-120,2:39:55
Josh Maisey,M0-120,2:40:02
Kyle Timko,M0-120,2:40:19
Ari Schorr,M0-120,2:40:19
Nobuyori Takeda,M0-120,2:40:31
Derek Zelazny,M0-120,2:40:34
Joseph Darda,M0-120,2:40:41
Stan Chaisson,M0-120,2:40:47
Mario Segura,M0-120,2:40:50
Blake Jorgensen,M0-120,2:40:52
Thomas Goldsby,M0-120,2:40:54
Jon Kuehler,M0-120,2:40:54
Eduardo Salas,M0-120,2:41:00
Carson Truesdell,M0-120,2:41:00
Zachary Lutz,M0-120,2:41:02
Mark Jones,M0-120,2:41:06
Jacob Enke,M0-120,2:41:07
Tomi Halme,M0-120,2:41:08
Justin King,M0-120,2:41:08
William Appman,M0-120,2:41:09
Nick Croker,M0-120,2:41:16
Bradley Alban,M0-120,2:41:17
Kaleb Keyserling,M0-120,2:41:28
William Guzick,M0-120,2:41:32
Mitchell Gilbert,M0-120,2:41:40
