RaceID,Name,Time,Gender,Age_Lower,Age_Upper,Shoes
BS18,Reid Coolsaet,8702,M,35,39,
BS18,Christian Thompson,8941,M,18,39,adidas adios boost
BS18,Jesse Anderson,8959,M,25,34,New Balance Hanzo
BS18,Zack Beavin,9056,M,25,34,Nike Lunar Glide (old 2
BS18,Nate Guthals,9095,M,25,34,
BS18,William Graham,9163,M,18,39,
BS18,Scott Mindel,9168,M,25,34,Saucony Fastwich 8
BS18,Fan Zhou,9170,M,25,34,
BS18,Dylan Lowry,9170,M,25,34,
BS18,Cole Sanseverino,9178,M,25,34,
BS18,Nicholas Lemon,9187,M,25,34,
BS18,Andrew Dionne,9198,M,25,34,Nike Flys (Green)
BS18,Patrick Hearn,9218,M,25,34,Nike streak lt3 grey
BS18,Johan Trimaille,9226,M,18,39,ASICS Hyper Speed 7 Jaune
BS18,Colin Riley,9259,M,25,34,
BS18,Braden Perry,9268,M,18,39,adidas adios boost
BS18,Morgan Kennedy,9247,M,18,39,Nike Vaporfly
BS18,Alexander Rink,9283,M,25,34,
BS18,Timothy Thornburg,9294,M,25,34,
BS18,Jorge Maravilla,9302,M,40,44,Nike zoom vaporfly 4%
BS18,Matthew Mcneil,9312,M,25,34,
BS18,Luis Chavez,9314,M,25,34,Nike VaporFly 4%
BS18,Tyler Lyon,9338,M,25,34,
BS18,Austin Hendrix,9340,M,18,39,
BS18,Taylor Monaghan,9357,M,25,34,Nike Vomero 12
BS18,Ryan Sloan,9355,M,18,39,
BS18,Michael Vido,9363,M,25,34,New Balance 1400 V5
BS18,Stephen Clevenger,9342,M,25,34,HOKA ONE ONE Clifton 2 blue/black
BS18,Brett Rosauer,9390,M,25,34,Nike Pegs 33 - 2
BS18,Ian Neill,9393,M,18,39,Nike 4
BS18,Erik Hinrichsen,9397,M,18,39,
BS18,Jason Thomas,9399,M,25,34,
BS18,Mario Fraioli,9428,M,35,39,Nike VaporFly 4%
BS18,Bronson Venable,9430,M,25,34,
BS18,Woody Snoberger,9431,M,35,39,
BS18,Samuel Berger,9434,M,18,39,
BS18,Shaun Dever,9435,M,18,39,Nike VaporFly 4%
BS18,Brent Schouler,9440,M,18,39,
BS18,Sean Kinne,9443,M,25,34,adidas adios
BS18,Drew Holmen,9431,M,25,34,HOKA ONE ONE Clayton
BS18,James Perez,9448,M,25,34,
BS18,Ryan Palmison,9450,M,18,39,
BS18,Matt Weickert,9415,M,35,39,
BS18,Patrick Haneberg,9469,M,18,39,Nike zoom vaporfly 4%
BS18,Chris Gabrielson,9474,M,18,39,
BS18,Scott Easey,9495,M,25,34,
BS18,Charlie Epperson,9491,M,40,44,
BS18,Graham O'Donoghue,9497,M,35,39,adidas adizero adios boost
BS18,Jordan Andersen,9495,M,18,39,Nike zoom vaporfly 4%
BS18,Taylor Washburn,9507,M,18,39,Brooks addiction
BS18,Daniel Nally,9508,M,25,34,adidas adizero adios
BS18,Jason Reilly,9508,M,18,39,
BS18,Joel Clarke-Ames,9516,M,35,39,
BS18,Samuel Fazioli,9513,M,25,34,
BS18,Mathew Weissinger,9515,M,18,39,
BS18,Jason Reilly,9508,M,35,39,
BS18,Gerardo Hernandez,9520,M,18,39,
BS18,Michael Andersen,9527,M,25,34,
BS18,John Corona,9556,M,25,34,Nike Zoom Fly
BS18,Aliaksandr Leuchanka,9552,M,25,34,
BS18,Clay Emge,9554,M,35,39,
BS18,Reed Breuer,9572,M,25,34,Nike VaporFly 4%
BS18,Malcolm Thomas,9568,M,35,39,
BS18,Craig Mcmillan,9592,M,40,44,adidas adios boost
BS18,Giovanni Pipia,9633,M,40,44,
BS18,Ryan Eiler,9635,M,18,39,
BS18,Christopher Klucznik,9646,M,35,39,
BS18,Shawn Wiler,9645,M,25,34,
BS18,Jason Acosta,9649,M,18,39,adidas Adios 3 #2 Aktiv
BS18,Garrett Burger,9598,M,25,34,Saucony Kinvara (BM)
BS18,Curtis Anderson,9660,M,25,34,
BS18,Eric Hultquist,9660,M,18,39,
BS18,John Barry,9660,M,45,49,adidas Adios 3 (2 pairs)
BS18,Christopher Petroff,9665,M,18,39,ASICS LyteRacer RS 4
BS18,Dan Stanton,9689,M,35,39,
BS18,Patrick Martin,9674,M,20,24,Nike VaporFly 4%
BS18,Graham Shorr,9675,M,18,39,Brooks Launch
BS18,Steven Childres,9677,M,18,39,Nike Lunaracer
BS18,Brian Wakefield,9691,M,40,44,New Balance 1080
BS18,Ian Hilliard,9701,M,18,39,
BS18,Evan Neubauer,9703,M,25,34,
BS18,Jeremy Provence,9707,M,18,39,
BS18,Ben Demaree,9687,M,25,34,Nike Zoom Elite 8 Home 2
BS18,Lucas White-Halliwell,9710,M,25,34,
BS18,Mark Angus,9710,M,18,39,
BS18,Hans Chr. Aarnes,9727,M,18,39,
BS18,Andrew Kaehr,9753,M,25,34,
BS18,Thomas Paquette,9735,M,25,34,Nike VaporFly 4%
BS18,Thomas Paquette,9735,M,35,39,
BS18,Stephen Vangampleare,9756,M,25,34,Nike Zoom Streak 6
BS18,Charles Lynch,9754,M,18,39,
BS18,Ian Iverson,9757,M,20,24,ASICS GT 2000
BS18,Paul Gaimster,9759,M,40,44,adidas Adizero Adios 3 (Club colours)
BS18,Hiromasa Aono,9762,M,35,39,adidas Adizero Adios 3
BS18,Jeremy Wysocki,9762,M,35,39,
BS18,Andrew Cook,9760,M,18,39,
BS18,Fred Goris,9771,M,18,39,
BS18,Travis Dean,9773,M,25,34,adidas Boston Boosts
BS18,Matthew Zuchetto,9777,M,40,44,Brooks Glycerin
BS18,Patrick Cutter,9729,M,25,34,
BS18,Mark Ryall,9800,M,35,39,
BS18,Manuel González,9787,M,25,34,Nike Zoom Flyknit Streak 6
BS18,Ryan Solinsky,9789,M,18,39,ASICS 2000-4s
BS18,Erik Alatalo,9793,M,25,34,
BS18,Christopher Rogers,9797,M,35,39,
BS18,Matthew Hillyard,9767,M,25,34,New Balance 1500v4
BS18,Nicholas Lawyer,9799,M,25,34,Nike VaporFly 4%
BS18,Georgy Dzhgarkava,9801,M,25,34,Nike Zoom Flyknit Streak 6
BS18,Matthew Kiesz,9802,M,25,34,Brooks Launch
BS18,Maccoy Benzen,9807,M,20,24,
BS18,Brooks Ballou,9799,M,25,34,
BS18,Nicholas Rindenello,9801,M,25,34,
BS18,Neil Spicer,9806,M,40,44,
BS18,Sjur Molstad,9812,M,35,39,Nike Zoom Vaporfly 4% red
BS18,Tyler Hamilton,9814,M,18,39,
BS18,Travis Dean,9773,M,25,34,HOKA ONE ONE Tracer 2
BS18,Brendan Meehan,9820,M,25,34,Nike Structure 21.3
BS18,Samuel Bell,9820,M,40,44,Nike VaporFly 4% Orange
BS18,Joshua Mcclung,9822,M,35,39,Nike Structure 20
BS18,David Blitzer,9810,M,25,34,Nike Wildhorse 2
BS18,Ari Schorr,9822,M,25,34,Brooks Asteria
BS18,Duncan Roberts,9826,M,40,44,
BS18,Kenny Goodfellow,9831,M,18,39,ASICS Gel-Hyper Speed 7
BS18,David Blitzer,9810,M,18,39,
BS18,Robert Lamarre,9835,M,18,39,New Balance 1400v2
BS18,Jack Johnson,9834,M,35,39,adidas adios boost orange
BS18,Brian Schroy,9840,M,25,34,
BS18,Enrico Kuhn,9846,M,35,39,adidas adizero adios 9/17 blau
BS18,Alex Ralston,9846,M,18,39,
BS18,Scott Mckeel,9842,M,25,34,
BS18,Vincent Riviere,9851,M,35,39,Nike Zoom Fly
BS18,Matt Collins,9856,M,25,34,
BS18,Carlos Siqueiros,9838,M,35,39,HOKA ONE ONE Tracer 2 yellow/blue
BS18,Eric Cooper,9861,M,18,39,Brooks Ghost
BS18,Krista Duchene,9860,F,40,44,Saucony any
BS18,Timothy Lillehaugen,9850,M,18,39,
BS18,Julio Vela,9867,M,25,34,Nike Nike zoom elite 9
BS18,John Hill,9869,M,50,54,No name None
BS18,Mason Chilmonczyk,9874,M,25,34,Brooks Ravenna
BS18,Brad Lewis,9922,M,25,34,
BS18,Rachel Hyland,9869,F,25,34,
BS18,Kimball Potter,9870,M,18,39,adidas Energy Boosts
BS18,Victor Valdelamar,9876,M,25,34,
BS18,Ethan Komoroski,9881,M,25,34,
BS18,Stephen Paddock,9880,M,25,34,Brooks Ghost
BS18,Ryan Taylor,9884,M,18,39,Brooks Levitate
BS18,Joshua Cochran,9888,M,35,39,Brooks Pure Connect #1
BS18,David Pinsonneault,9891,M,25,34,Nike Vaporfly 4% (2nd pair)
BS18,Jordan O'Donoghue,9887,M,18,39,Nike Zoom Fly
BS18,Peter Teixeira,9894,M,20,24,Saucony Freedom ISO
BS18,Spencer Gaddy,9898,M,25,34,Nike VaporFly 4%
BS18,Brent Shirley,9901,M,25,34,
BS18,Ryan Guldan,9897,M,18,39,
BS18,Jim Bumbulsky,9906,M,25,34,US Athletics ?
BS18,Zach Chenoweth,9909,M,25,34,
BS18,Stephen Paddock,9880,M,25,34,
BS18,Mark Jones,9914,M,25,34,
BS18,Kevin Mooney,9917,M,25,34,Nike Zoom Fly JAN17
BS18,Austin Olshavsky,9917,M,25,34,
BS18,Jeff Tissue,9915,M,25,34,
BS18,Kyle Coffee,9918,M,25,34,Nike Free 5.0 Orange Patterned
BS18,Christopher Knorzer,9916,M,45,49,
BS18,Shamus Reid,9916,M,25,34,Skechers GoRun Ride 6
BS18,Jessica Chichester,9923,F,25,34,Nike vapor fly 4% light blue
BS18,Nicholas Andresen,9922,M,25,34,New Balance flats
BS18,Dave Moyer,9902,M,18,39,Nike Vaporfly
BS18,Nikolas Jon Aarland,9934,M,25,34,Nike Epic React
BS18,Eric Cale,9938,M,35,39,
BS18,Stephen Chaloner,9916,M,35,39,Brooks Hyperion
BS18,Kevin Alliette,9940,M,18,39,
BS18,Ryan Kerrigan,9946,M,18,39,
BS18,Brian Polen,9945,M,35,39,adidas Energy Boost
BS18,Nicholas Limoni,9946,M,18,39,
BS18,Andrew Goddard,9951,M,40,44,New Balance 1400v5
BS18,Jason Land,9951,M,40,44,
BS18,Shane O'Neill,9955,M,25,34,
BS18,Kevin Alliette,9940,M,25,34,Brooks PureCadence
BS18,Guillaume Deneffe,9966,M,35,39,Nike Zoom Streak 6 jr
BS18,Benny Willers,9974,M,18,39,
BS18,Alejandro Fallas,9973,M,25,34,Nike Vaporfly
BS18,Peter Battaglino,9973,M,35,39,Saucony Kinvara 8
BS18,Jimmy Sosinski,9978,M,35,39,
BS18,Scott Abbott,9981,M,40,44,
BS18,Shizhong Yang,9983,M,18,39,
BS18,James Weissensel,10001,M,25,34,New Balance Older Rush
BS18,Gregory Liebl,10001,M,25,34,
BS18,Mark Furler,10008,M,35,39,
BS18,Spencer Castro,10010,M,18,39,Brooks Hyperion
BS18,Cody Chabola,10018,M,25,34,adidas adios
BS18,Marius Dijokas,10018,M,35,39,adidas SonicBOOST
BS18,Jaime Benazar,10022,M,25,34,New Balance Zante v3
BS18,Trevor Maclean,10023,M,25,34,Nike Nike Zoom 4%
BS18,Matthew Whitaker,10024,M,25,34,
BS18,James Graham,10027,M,18,39,New Balance 1400 flats
BS18,Matthew Borneman,10034,M,25,34,adidas sub2
BS18,Lars Johnson,10034,M,25,34,Brooks Adrenaline GTS
