Geoffrey Kamworor,M25-29,2:08:13
Albert Korir,M25-29,2:08:36
Girma Bekele Gebre,M25-29,2:08:38
Tamirat Tola,M25-29,2:09:20
Shura Kitata,M20-24,2:10:39
Jared Ward,M30-34,2:10:45
Stephen Sambu,M30-34,2:11:11
Yoshiki Takenouchi,M25-29,2:11:18
Abdi Abdirahman,M40-44,2:11:34
Connor McMillan,M20-24,2:12:07
Arne Gabius,M35-39,2:12:57
Daniel Mesfun,M30-34,2:13:09
Birhanu Dare Kemal,M30-34,2:13:35
Tyler Pennel,M30-34,2:14:10
John Raneri,M25-29,2:14:13
Patricio Castillo,M25-29,2:14:16
Tadesse Yae Dabi,M30-34,2:14:24
Tyler Jermann,M25-29,2:15:38
Joe Whelan,M25-29,2:16:10
Louis Serafini,M25-29,2:16:34
Diriba Degefa Yigezu,M30-34,2:16:38
Jack Rayner,M20-24,2:16:58
Brett Robinson,M25-29,2:17:50
Craig Leon,M30-34,2:18:20
Mustafa Mohamed,M40-44,2:19:41
Brendan Martin,M30-34,2:19:52
Harbert Okuti,M30-34,2:21:06
Fredison Costa,M40-44,2:21:29
Tyler McCandless,M30-34,2:21:55
Gregory Billington,M30-34,2:22:27
Joyciline Jepkosgei,F25-29,2:22:38
Temesgen Habtemariam Bekele,M25-29,2:23:04
Jaime Julia,M35-39,2:23:04
Mary Keitany,F35-39,2:23:32
Abu Kebede Diriba,M30-34,2:23:55
Seth DeMoor,M30-34,2:24:01
Michel Butter,M30-34,2:25:06
Matthew Kruger,M30-34,2:25:37
Ruti Aga,F25-29,2:25:51
Vladimir Shatrov,M40-44,2:26:17
Tim Niklas Schwippel,M20-24,2:26:19
Nancy Kiprop,F40-44,2:26:21
Sinead Diver,F40-44,2:26:23
Jordan Daniel,M20-24,2:26:27
Guillaume Adam,M25-29,2:26:36
Thierry Guibault,M45-49,2:26:46
Desiree Linden,F35-39,2:26:46
Kellyn Taylor,F30-34,2:26:52
Rune Baekgaard,M30-34,2:26:53
Ellie Pashley,F30-34,2:27:07
Miguel Ferrer,M40-44,2:27:15
Belaynesh Fikadu,F30-34,2:27:27
Chris Bailey,M25-29,2:27:29
Massi Milani,M45-49,2:27:30
Mary Ngugi,F30-34,2:27:36
Gerda Steyn,F25-29,2:27:48
Jakob Pedersen,M25-29,2:27:49
Benjamin Toomer,M30-34,2:27:56
David Kilgore,M25-29,2:27:59
Felix Ledwig,M25-29,2:27:59
Luis Molina,M30-34,2:28:00
Aliphine Tuliamuk,F30-34,2:28:12
Joost De Raeymaeker,M50-54,2:28:16
Robert Hudson,M30-34,2:28:29
Enrique Calvillo Trujillano,M40-44,2:29:22
Matthew Conrad,M25-29,2:29:40
Dennis Ryan,M25-29,2:29:48
King Long Wat,M20-24,2:29:49
Stuart Haynes,M40-44,2:29:52
Abinazer Aghegnehu,M30-34,2:30:01
Floris Willeboordse,M25-29,2:30:01
Brandon Abasolo,M25-29,2:30:04
Jonathan Rosenbrier,M40-44,2:30:11
Roberta Groner,F40-44,2:30:12
Anthony DeSabato,M25-29,2:30:21
Edvinas Vyzas,M40-44,2:30:23
Shawn Ferguson,M25-29,2:30:32
